title,company,description,link,listedOn,email,phone,city,region,salary,runDate,comms
EL1 Cloud Environment Manager,face2face Recruitment,"Seeking EL1 Cloud Environment Manager skilled in Microsoft 365 and Azure, with expertise in cloud operations, security, and team management.",https://www.seek.com.au/job/77280792?type=standout&ref=search-standalone&origin=cardTitle#sol=c39939fcaffdb9dd543caa4664291776460ec753,,TeamICT@f2frecruitment.com.au,,Fitzroy,Melbourne VIC,"Between $116,075 - $132,386 plus 15.4% super",2024-07-15,15/07/2024
Applications Specialist,Treasury Wine Estates Limited,Drive efficiency and innovation by supporting and optimising digital applications in a dynamic environment.,https://www.seek.com.au/job/77275926?type=standout&ref=search-standalone&origin=cardTitle#sol=c75d64d6312cc24a94c7b817946bfe8ed0f8831b,,recruitment@tweglobal.com,,Fitzroy,Melbourne VIC,,2024-07-15,15/07/2024
Technical Presales Engineer,Northbridge Recruitment,Established & respected Australian MSP that has grown year-on-year and now has 60 + staff across Australia and the Philippines!,https://www.seek.com.au/job/77289193?type=standard&ref=search-standalone&origin=cardTitle#sol=718609e8167c56e293d7bdb17bd6665d3f414685,,dan@nbridge.com.au,,Fitzroy,Melbourne VIC,,2024-07-15,15/07/2024
Database Officer,WaterAid Australia,"The Database Officer is responsible for strategizing, supporting, and maintaining the integrity of WaterAid’s donor database, Raiser’s Edge.",https://www.seek.com.au/job/77287775?type=standard&ref=search-standalone&origin=cardTitle#sol=772672aa2d60c4122c465cd8f53ea4b1f2b7f849,,recruitment@wateraid.org.au,,Fitzroy,Melbourne VIC,,2024-07-15,15/07/2024
Manager Planning and Delivery Office,Australian Digital Health Agency,Lead a team of Cyber focused Project Managers to deliver key outcomes for the Cyber Security Branch.,https://www.seek.com.au/job/77284159?type=standout&ref=search-standalone&origin=cardTitle#sol=3799014dc0ed92fbe168cf501d2739c37accfb3b,,kenny.ferreira@digitalhealth.gov.au,,Fitzroy,Melbourne VIC,,2024-07-15,15/07/2024
Manager Planning and Delivery Office,Australian Digital Health Agency,Lead a team of Cyber focused Project Managers to deliver key outcomes for the Cyber Security Branch.,https://www.seek.com.au/job/77284160?type=standout&ref=search-standalone&origin=cardTitle#sol=4c47ee663474c77b5bf3f5bf32a9ead7bb73e78c,,kenny.ferreira@digitalhealth.gov.au,,Canberra ACT,Hobart TAS,"Between $116,075 - $132,386 plus 15.4% super",2024-07-15,15/07/2024
2 x IT Business Analysts,HireCloud,Clean Energy provider offering flexibility to work from home or office requires 2 x BA's to join its friendly and inclusive team,https://www.seek.com.au/job/77286150?type=standout&ref=search-standalone&origin=cardTitle#sol=6ca00a9dfba7e41985b699bac1a9498cf37dee60,,hollie@hirecloud.com.au,,Canberra ACT,Hobart TAS,Attractive daily rate,2024-07-15,15/07/2024
Systems Administrator - MacOS Support -L3,Peoplebank Australia VIC,We are closely working with a renowned Australian Group that is seeking an experienced Systems Administrator-Mac Support to join the team.,https://www.seek.com.au/job/77285832?type=standout&ref=search-standalone&origin=cardTitle#sol=0748def136cc7d510605f11c31c0cdb44d1cd2eb,,priya.kuncham@peoplebank.com.au,,Canberra ACT,Hobart TAS,Highly competitive hourly rate,2024-07-15,15/07/2024
Senior Database Administration & Integration Specialist,Barwon Health,Permanent Full Time Senior Database Administration & Integration Specialist join us at Barwon Health - South West Alliance of Rural Health (SWARH),https://www.seek.com.au/job/77284382?type=standout&ref=search-standalone&origin=cardTitle#sol=dffa84dfbeeb6aede3ed41d13423858bf3dc2011,,recruitment@barwonhealth.org.au,,Canberra ACT,Hobart TAS,"$165,000 - $175,000 p/a incl super",2024-07-15,15/07/2024
OT Systems Engineer - Power - West,APA Group,Join our technology team on a permanent basis.,https://www.seek.com.au/job/77278829?type=standout&ref=search-standalone&origin=cardTitle#sol=debffbec8eb9d0e0d36618cbe8637dc589e2825a,,recruitment@apa.com.au,,Canberra ACT,Hobart TAS,"$127,263 to $136,293 p.a.",2024-07-15,
Communications Technician,Alchemy Recruitment Consulting Pty Ltd,"Provide day to day preventative and corrective maintenance on technology for a leading mining giant, in the Hunter Valley Region.",https://www.seek.com.au/job/77281664?type=standout&ref=search-standalone&origin=cardTitle#sol=96547ed05b2546d83e3f9a789f8b86228a477966,,doug@alchemy.com.au,,Canberra ACT,Hobart TAS,"$165,000 - $175,000 p/a incl super",2024-07-15,15/07/2024
Senior Technical Specialist,Paxus,Opportunity to work within a large complex environment with multiple initiatives.,https://www.seek.com.au/job/77274470?type=standard&ref=search-standalone&origin=cardTitle#sol=97c17a954d444c99da11e8e0b85091cc77845b97,,ayadav@paxus.com.au,,Canberra ACT,Hobart TAS,Competetive salaries on offer,2024-07-15,
Cybersecurity Specialist,Fosterville Gold Mine Pty Ltd,Bring your Cybersecurity experience and skills to a world leading gold mining company at Agnico Eagle Australia!,https://www.seek.com.au/job/77283378?type=standout&ref=search-standalone&origin=cardTitle#sol=9c5e162f5c2e331377a24adb1d6f551dd9ea9ac3,,melanie.bell@agnicoeagle.com,,Canberra ACT,Hobart TAS,Attractive salary package and benefits,2024-07-15,15/07/2024
Database Officer,WaterAid Australia,"The Database Officer is responsible for strategizing, supporting, and maintaining the integrity of WaterAid’s donor database, Raiser’s Edge.",https://www.seek.com.au/job/77287775?type=standard&ref=search-standalone&origin=cardTitle#sol=1a3a4c3c1671f2fb8ccdcae422e7c7c4c4ce78e0,,recruitment@wateraid.org.au,,Canberra ACT,Hobart TAS,,2024-07-15,15/07/2024
Technical Presales Engineer,Northbridge Recruitment,Established & respected Australian MSP that has grown year-on-year and now has 60 + staff across Australia and the Philippines!,https://www.seek.com.au/job/77289193?type=standard&ref=search-standalone&origin=cardTitle#sol=6c4a195594052d88d06ed717081c4fed63e42557,,dan@nbridge.com.au,,Canberra ACT,Hobart TAS,,2024-07-15,15/07/2024
Service Desk Analyst,Attribute Group,Major Financial Services organisation requires 1x Service Desk Analyst for urgent 6 months contract,https://www.seek.com.au/job/77273355?type=standout&ref=search-standalone&origin=cardTitle#sol=674e774055f4586ca97370c16c28d5ddfc3d200c,,acronin@attributegroup.com.au,,Canberra ACT,Hobart TAS,,2024-07-15,15/07/2024
Solution Designer,Eden Ritchie Recruitment,"Provide advice on solution design best practices, lead technical designs in adherence to reference solution, enterprise architecture principles.",https://www.seek.com.au/job/77286715?type=standard&ref=search-standalone&origin=cardTitle#sol=fd28b8a21e61a25f89b8c66ec3323a264e16a6ba,,andrew@edenritchie.com.au,,Canberra ACT,Hobart TAS,,2024-07-15,15/07/2024
Program Manager Dredging,Department of Transport,An experienced Program Manager with an extensive background in dredging programs and contract management to join our team.,https://www.seek.com.au/job/77288964?type=standout&ref=search-standalone&origin=cardTitle#sol=e3a9dbccea947d9588455130fe4942e43569aee1,,Samuel.Mettam@transport.wa.gov.au,,East Melbourne,Melbourne VIC,"$165,000 - $175,000 p/a incl super",2024-07-15,15/07/2024
SuccessFactors System Administrator (Junior Level),Quay Appointments,SuccessFactors System Administrator (Junior Level)- Initial Contract is Until Dec 2024- Based in Sydney CBD (Hybrid),https://www.seek.com.au/job/77277190?type=standard&ref=search-standalone&origin=cardTitle#sol=d95e59624b0fee3673657413f986ea28014912bc,,sjain@quayappointments.com.au,,East Melbourne,Melbourne VIC,"Level 7, $128,077 - $136,891 per annum + Super",2024-07-15,15/07/2024
Principal Project Officer,Department of Treasury,"This is a rare opportunity to join a growing team working on high-impact projects at various stages, from problem definition through to deliver",https://www.seek.com.au/job/77288680?type=standout&ref=search-standalone&origin=cardTitle#sol=de2e1e8d691f650859046e6026ef5d254c7c548c,,Brett.Daniells@treasury.wa.gov.au,,East Melbourne,Melbourne VIC,Salary + superannuation + bonus,2024-07-15,15/07/2024
Communications Technician,Alchemy Recruitment Consulting Pty Ltd,"Provide day to day preventative and corrective maintenance on technology for a leading mining giant, in the Hunter Valley Region.",https://www.seek.com.au/job/77281664?type=standout&ref=search-standalone&origin=cardTitle#sol=96ff9936d0efb28349f2946ef2a5fd0435d9c2ad,,doug@alchemy.com.au,,East Melbourne,Melbourne VIC,"$100,219 - $108,698 per annum",2024-07-15,15/07/2024
OT Systems Engineer - Power - West,APA Group,Join our technology team on a permanent basis.,https://www.seek.com.au/job/77278829?type=standout&ref=search-standalone&origin=cardTitle#sol=e54687ba51f171acf416bdf308285dfe559b0484,,recruitment@apa.com.au,,East Melbourne,Melbourne VIC,"$127,263 to $136,293 p.a.",2024-07-15,
Program Director – Enterprise Architecture,u&u. Recruitment Partners,"Join us as a Program Director to lead our digital transformation and enterprise architecture, enhancing digital capabilities.",https://www.seek.com.au/job/77286695?type=standard&ref=search-standalone&origin=cardTitle#sol=5f7597b4471ec4d985d59d600882f48faa093ba8,,tyler.dewar@uandu.com,,East Melbourne,Melbourne VIC,,2024-07-15,15/07/2024
Senior Technical Specialist,Paxus,Opportunity to work within a large complex environment with multiple initiatives.,https://www.seek.com.au/job/77274470?type=standard&ref=search-standalone&origin=cardTitle#sol=5d4d57a85fa97bc56cccf74767cf827aeea0d108,,ayadav@paxus.com.au,,East Melbourne,Melbourne VIC,,2024-07-15,
Project Manager - Infrastructure,Professional Search Group,Delibvery cuting edge IT Infrastructure Projects.,https://www.seek.com.au/job/77283937?type=standard&ref=search-standalone&origin=cardTitle#sol=9f25f036502129078bea705ac072ff50f9007bbd,,gary@psgaus.com.au,,East Melbourne,Melbourne VIC,,2024-07-15,15/07/2024
Senior Software Engineer,Uniti Group Limited,An exciting role available for an experienced Senior Software Engineer based in Port Melbourne,https://www.seek.com.au/job/77272412?type=promoted&ref=search-standalone&origin=cardTitle#sol=e7e70f372bda2cba3fd736e200b1204923e05bab,,recruitment@unitigrouplimited.com,,Port Melbourne,Melbourne VIC,$120 - $140 per hour + super,2024-07-15,15/07/2024
Senior Network Engineer,Karlka Recruiting Group,"12-month contract starting in July 2024 + possible 12 month extension | Canberra, ACT Location | State Government Agency | Full time position",https://www.seek.com.au/job/77279273?type=standout&ref=search-standalone&origin=cardTitle#sol=7723213492ce6c12f2d88718eff132f94cc02d2d,,recruitment@karlkarecruiting.com.au,,Port Melbourne,Melbourne VIC,+super+bonus+health+life insurance,2024-07-15,15/07/2024
Project Manager - Infrastructure,Professional Search Group,Delibvery cuting edge IT Infrastructure Projects.,https://www.seek.com.au/job/77283937?type=standard&ref=search-standalone&origin=cardTitle#sol=f1613bf1f3d32c066ec384c8d816b0925bd8c424,,gary@psgaus.com.au,,Port Melbourne,Melbourne VIC,$150 – $160 per hour,2024-07-15,15/07/2024
OT Network Engineer - Power - West,APA Group,Join our technology team on a permanent basis.,https://www.seek.com.au/job/77282642?type=standout&ref=search-standalone&origin=cardTitle#sol=15314171da25988760d28ad7db33819d8e47c374,,recruitment@apa.com.au,,Port Melbourne,Melbourne VIC,,2024-07-15,
Program Director – Enterprise Architecture,u&u. Recruitment Partners,"Join us as a Program Director to lead our digital transformation and enterprise architecture, enhancing digital capabilities.",https://www.seek.com.au/job/77286695?type=standard&ref=search-standalone&origin=cardTitle#sol=69779884d67f9e505fcae39e8e6206267b4341aa,,tyler.dewar@uandu.com,,Port Melbourne,Melbourne VIC,,2024-07-15,15/07/2024
Delivery Lead - Infrastructure,Davidson,We are looking for an experienced Delivery Lead to join an exciting infrastructure project!,https://www.seek.com.au/job/77273861?type=standout&ref=search-standalone&origin=cardTitle#sol=2da701c411de3d9931ef1fb58e421de38aaff38c,,tara.gearon@davidsonwp.com,072024-3756,Port Melbourne,Melbourne VIC,,2024-07-15,15/07/2024
Product Manager - Data,THE ICONIC,"We are seeking an experienced Product Manager - Data to lead the inception, design, delivery, and testing of impactful solutions!",https://www.seek.com.au/job/77278783?type=promoted&ref=search-standalone&origin=cardTitle#sol=fbcde9176c2eb5a29814d76c162495fce4bf952b,,talent.attraction@theiconic.com.au,,Sydney NSW,Brisbane QLD,Hybrid - 40% in the office,2024-07-15,15/07/2024
Technical Lead,Peoplebank Australia NSW,"About the Company Our key client is a technology leader across the Telecoms industry and their solutions enable a more productive, sustainable and in",https://www.seek.com.au/job/77279245?type=standout&ref=search-standalone&origin=cardTitle#sol=b0cea52cd6bf88596b166e3cfc6e64b2cb6af0f3,,meg.geronimo@peoplebank.com.au,,Sydney NSW,Brisbane QLD,,2024-07-15,15/07/2024
Program Manager Dredging,Department of Transport,An experienced Program Manager with an extensive background in dredging programs and contract management to join our team.,https://www.seek.com.au/job/77288964?type=standout&ref=search-standalone&origin=cardTitle#sol=7b4de46d2a4c98b052c86c25013f718a90c29416,,Samuel.Mettam@transport.wa.gov.au,,Sydney NSW,Brisbane QLD,,2024-07-15,15/07/2024
OT Systems Engineer - Power - West,APA Group,Join our technology team on a permanent basis.,https://www.seek.com.au/job/77279196?type=standout&ref=search-standalone&origin=cardTitle#sol=9729129def040b51e39fe0f1f51e92ed874de397,,recruitment@apa.com.au,,Sydney NSW,Brisbane QLD,,2024-07-15,
OT Systems Engineer - Power - West,APA Group,Join our technology team on a permanent basis.,https://www.seek.com.au/job/77278717?type=standout&ref=search-standalone&origin=cardTitle#sol=890fa973c4c9a1144d5439affda9d685e1d27b3a,,recruitment@apa.com.au,,Sydney NSW,Brisbane QLD,,2024-07-15,
Business Applications Analyst - Deposits and Transactions,Red Apple IT Pty Ltd,"If you're waiting to be allocated to a decent project and you're sick of Groundhog Day, then read on. Bullet Points",https://www.seek.com.au/job/77274312?type=standard&ref=search-standalone&origin=cardTitle#sol=c6c3c968d083d19cf9ab1aa5968c37a7958f7f0f,,paulina@redappleit.com.au,,Sydney NSW,Brisbane QLD,,2024-07-15,15/07/2024
Delivery Lead - Infrastructure,Davidson,We are looking for an experienced Delivery Lead to join an exciting infrastructure project!,https://www.seek.com.au/job/77273861?type=standout&ref=search-standalone&origin=cardTitle#sol=b8bf5aff91465d0272aad897bd3b46410b62a340,,tara.gearon@davidsonwp.com,072024-3756,Adelaide SA,Subiaco,$85 - $100 p.h. + Inclusive super OR + GST,2024-07-15,15/07/2024
OT Systems Engineer - Power - West,APA Group,Join our technology team on a permanent basis.,https://www.seek.com.au/job/77279196?type=standout&ref=search-standalone&origin=cardTitle#sol=5e35cea5d34ab6daad8a058a550b4237c3a335e6,,recruitment@apa.com.au,,Adelaide SA,Subiaco,,2024-07-15,
OT Network Engineer - Power - West,APA Group,Join our technology team on a permanent basis.,https://www.seek.com.au/job/77282589?type=standout&ref=search-standalone&origin=cardTitle#sol=c64d18b579aa7e70335378f1967c050e81c2eac0,,recruitment@apa.com.au,,Adelaide SA,Subiaco,,2024-07-15,
Product Manager - Data,THE ICONIC,"We are seeking an experienced Product Manager - Data to lead the inception, design, delivery, and testing of impactful solutions!",https://www.seek.com.au/job/77278783?type=standout&ref=search-standalone&origin=cardTitle#sol=32bf0a8b6a5ab0a12c57b84777450d8401d7ad0e,,talent.attraction@theiconic.com.au,,Adelaide SA,Subiaco,,2024-07-15,15/07/2024
OT Systems Engineer - Power - West,APA Group,Join our technology team on a permanent basis.,https://www.seek.com.au/job/77278717?type=standout&ref=search-standalone&origin=cardTitle#sol=240642a64674dc7154a7ccf52b01a30338289e68,,recruitment@apa.com.au,,Adelaide SA,Subiaco,,2024-07-15,
ICT Procurement Officer,Clicks IT Recruitment (QLD),Our client is a Queensland Department that provides expertise and support that increases primary industries productivity.,https://www.seek.com.au/job/77285104?type=standard&ref=search-standalone&origin=cardTitle#sol=fff6b7594ea7609a9cb9ec04d9d2a336434cbe70,,adjustments@clicks.com.au,,Adelaide SA,Subiaco,,2024-07-15,
Senior System Analyst and Administrator,APA Group,Join our technology team on a permanent basis.,https://www.seek.com.au/job/77282122?type=standout&ref=search-standalone&origin=cardTitle#sol=5a567d4aea7323261258704a20af70fd646a8abb,,recruitment@apa.com.au,,Adelaide SA,Subiaco,,2024-07-15,
Product Manager - Data,THE ICONIC,"We are seeking an experienced Product Manager - Data to lead the inception, design, delivery, and testing of impactful solutions!",https://www.seek.com.au/job/77278783?type=promoted&ref=search-standalone&origin=cardTitle#sol=1a0d752f31bc4dc0af697ff1e25b484699048476,,talent.attraction@theiconic.com.au,,Sydney NSW,Osborne Park,AUD 125 - 145 per hour,2024-07-15,15/07/2024
Azure Cloud DevOps Engineers,Resolve Recruit,"Exclusive access to coworking spaces, membership to our corporate benefits program and transparent agency fees. Call Saffat Hossain on 6147 6717.",https://www.seek.com.au/job/77288592?type=standout&ref=search-standalone&origin=cardTitle#sol=b46101cbde0ff7c435bfeca0bb36a0c7713a5458,,hello@resolve-recruit.com.au,,Sydney NSW,Osborne Park,Yes,2024-07-15,15/07/2024
Business Intelligence Analyst,DevelopmentWA,DevelopmentWA has an exciting opportunity for an experienced Business Intelligence Analyst to join our Information and Communications Technology team!,https://www.seek.com.au/job/77289374?type=standout&ref=search-standalone&origin=cardTitle#sol=00ed4c55b4c078a48d73d57de3f3b20d7a0d6993,,people@developmentwa.com.au,,Sydney NSW,Osborne Park,Excellent Salary & Benefits,2024-07-15,15/07/2024
Senior System Analyst and Administrator,APA Group,Join our technology team on a permanent basis.,https://www.seek.com.au/job/77282009?type=standout&ref=search-standalone&origin=cardTitle#sol=7ba0676c7f22ebe83941eebef086ac6b62522d36,,recruitment@apa.com.au,,Sydney NSW,Osborne Park,AUD 110 - 130 per hour,2024-07-15,
OT Network Engineer - Power - West,APA Group,Join our technology team on a permanent basis.,https://www.seek.com.au/job/77282452?type=standout&ref=search-standalone&origin=cardTitle#sol=e3f8d345d6b6eeac0a8c76baa90383b370771927,,recruitment@apa.com.au,,Sydney NSW,Osborne Park,$800.00 - $900.00 p.d. Plus Superannuation,2024-07-15,
Project Manager - Technical Readiness,Mura Connect Pty Ltd,This role is responsible for driving digital transformation to ensure technical operational readiness.,https://www.seek.com.au/job/77287462?type=standard&ref=search-standalone&origin=cardTitle#sol=44c850f6d188a65b3b4bc43fea2b8937a391fc57,,paul.t@muraconnect.com.au,,Sydney NSW,Osborne Park,,2024-07-15,15/07/2024
Senior Software Engineer,Uniti Group Limited,An exciting role available for an experienced Senior Software Engineer based in Port Melbourne,https://www.seek.com.au/job/77272412?type=standout&ref=search-standalone&origin=cardTitle#sol=7f3d935f84d15e4127524d12de5365f16a0df7e8,,recruitment@unitigrouplimited.com,,Sydney NSW,Osborne Park,,2024-07-15,15/07/2024
Senior System Analyst and Administrator,APA Group,Join our technology team on permanent basis.,https://www.seek.com.au/job/77281913?type=standout&ref=search-standalone&origin=cardTitle#sol=cdd71c73f4eec81bb1fdc4639f61a5fb829743ea,,recruitment@apa.com.au,,Sydney NSW,Osborne Park,,2024-07-15,
Technical Business Analyst - Workflow,M&T Resources,"Amazing role focusing on understanding, building, delivering, and supporting Workflow tools. Global scope and projects.",https://www.seek.com.au/job/77277098?type=standout&ref=search-standalone&origin=cardTitle#sol=a57efe8027968f8fe773fb93ac490ad60f9baf57,,dustin.pineda@mtr.com.au,,Sydney NSW,Osborne Park,,2024-07-15,15/07/2024
Training Officer,Emanate Technology Pty Ltd,Emanate Technology is pleased to collaborate with a key State government client in their search for a Training Officer.,https://www.seek.com.au/job/77275628?type=standard&ref=search-standalone&origin=cardTitle#sol=75b2150a6c733b71fb0cafbe0339f628dfa9a6c6,,amy@emanatetechnology.com.au,,Sydney NSW,Osborne Park,,2024-07-15,15/07/2024
Geospatial Analyst,Resolve Recruit,"Exclusive access to coworking spaces, membership to our corporate benefits program and transparent agency fees. Call Saffat Hossain on 6147 6717.",https://www.seek.com.au/job/77288035?type=standout&ref=search-standalone&origin=cardTitle#sol=3f19d52e7ce5ca7df697bebf6dd9c3fd52da53e9,,hello@resolve-recruit.com.au,,Sydney NSW,Osborne Park,,2024-07-15,15/07/2024
Hybrid Project Manager,Baptist Care SA,"Join our Project Management, Grants & Tenders team as a dynamic, influential leader to deliver successful project outcomes.",https://www.seek.com.au/job/77283420?type=standout&ref=search-standalone&origin=cardTitle#sol=c94d4848d025b944dc461a76861fc28ee4a81992,,recruitment@baptistcaresa.org.au,,Sydney NSW,Osborne Park,,2024-07-15,15/07/2024
Release Coordinator,Red Apple IT Pty Ltd,Are you tired of the same routine every day? Looking for a challenge where no day is the same?,https://www.seek.com.au/job/77274526?type=standard&ref=search-standalone&origin=cardTitle#sol=fbcb104a89b3e40bd75018056c9991f1017bd3c0,,paulina@redappleit.com.au,,Sydney NSW,Osborne Park,,2024-07-15,15/07/2024
