title,company,description,link,listedOn,email,phone,city,region,salary,runDate,comms
Technical Business Analyst,Allura Partners,"Technical Business Analyst needed; banking, data, SaaS, and programming experience would be ideal. Sydney or Brisbane based.",https://www.seek.com.au/job/77665315?type=standard&ref=search-standalone&origin=cardTitle#sol=856a16ea6c79997e5c69b7143d19263464236eb1,,jamie.barry@allurapartners.com.au,,Melbourne VIC,Parramatta,,2024-07-30,30/07/2024
Business Analyst - GRC Open Pages Support,HCF Australia,An exciting permanent opportunity to join HCF Australia as Business Analyst,https://www.seek.com.au/job/77669555?type=standout&ref=search-standalone&origin=cardTitle#sol=9ffa31050d992e5e721ba396dd6dfdb2c45a0be9,,vacancy@hcf.com.au,,Melbourne VIC,Parramatta,,2024-07-30,
Software Engineer,Paxus,"If you have a desire to challenge and develop your skills, develop new talents, work with leading tech, then this may be the opportunity for you.",https://www.seek.com.au/job/77699819?type=standard&ref=search-standalone&origin=cardTitle#sol=82ac34d59e51c01244ee99b3033cdca893eb341a,,mpowell@paxus.com.au,,North Sydney,Sydney NSW,Great salary plus 14% super and bonus potential,2024-07-30,30/07/2024
"Project Manager/Director - Digital Leadership | PRINCE2",Holmesglen Institute,An urgent need has arisen to engage the services of a Project Director with exceptional project resource and project team management skills.,https://www.seek.com.au/job/77668020?type=standard&ref=search-standalone&origin=cardTitle#sol=6462077d2a7881acd7078eb4932cb62a7aeaab8b,,lfisher@genesisit.com.au,,North Sydney,Sydney NSW,$125+ per hour. (All Fees Disclosed),2024-07-30,30/07/2024
Project Management Office Coordinator,Ventia,Holmesglen is seeking a highly skilled Project Manager to establish a Project Management Office!,https://www.seek.com.au/job/77668502?type=standout&ref=search-standalone&origin=cardTitle#sol=2c8799372aa2272ca766cc985f5cf2094b078b28,,Paul.Culpan@holmesglen.edu.au,,North Sydney,Sydney NSW,Excellent salary package,2024-07-30,30/07/2024
IDAM Engineer - 12 + 12 + 12 Months Contract,M&T Resources,Excellent $$ - 12 + 12 + 12 Months Contract. Must be Australian Citizen. NV1 Clearance preferred or the ability to get one. Flexible working.,https://www.seek.com.au/job/77673637?type=standout&ref=search-standalone&origin=cardTitle#sol=76e831eb1d2f8784df994fb9053700c8beb19444,,jobs@skilld.au,,North Sydney,Sydney NSW,,2024-07-30,30/07/2024
Project Manager,Commonwealth Bank – Technology,"Full time, ongoing position. Lead seamless infrastructure projects, optimizing resources & timelines to meet strategic objectives. Docklands location.",https://www.seek.com.au/job/77665397?type=standout&ref=search-standalone&origin=cardTitle#sol=1eafb12509fb3a454013817095dc9a39f200571a,,careers@kineticit.com.au,,North Sydney,Sydney NSW,,2024-07-30,
Information Management Specialist,HCM Australia,Seeking experienced Information Management Specialist to join our government client.,https://www.seek.com.au/job/77705705?type=standard&ref=search-standalone&origin=cardTitle#sol=bea9821daa5e939610019464f3f9ddca7afa1b00,,,0433131894,North Sydney,Sydney NSW,,2024-07-30,
Technical Business Analyst - Immediate Start,DXC Technology Australia & New Zealand,Seeking a Technical Business Analyst with a strong background in Service Management or health-related domains,https://www.seek.com.au/job/77697049?type=standard&ref=search-standalone&origin=cardTitle#sol=feb0b418a982cf1f5169407fd047b2e95ec5138b,,engagements@evolutionspecialists.com.au,,North Sydney,Sydney NSW,,2024-07-30,30/07/2024
Business Analyst - GRC Open Pages Support,HCF Australia,An exciting permanent opportunity to join HCF Australia as Business Analyst,https://www.seek.com.au/job/77669555?type=promoted&ref=search-standalone&origin=cardTitle#sol=98bb40fcdaccfd4db82cc246b1fc6e2ab3874947,,vacancy@hcf.com.au,,Sydney NSW,Sydney NSW,"$120,000 package inc super",2024-07-30,
Technical Business Analyst,Allura Partners,"Technical Business Analyst needed; banking, data, SaaS, and programming experience would be ideal. Sydney or Brisbane based.",https://www.seek.com.au/job/77665315?type=standard&ref=search-standalone&origin=cardTitle#sol=0599aa9abc3fc9a5a2f25b2048fa8163339d21a7,,jamie.barry@allurapartners.com.au,,Sydney NSW,Sydney NSW,$160k - $175k p.a.,2024-07-30,30/07/2024
Senior Infrastructure Project Manager,Capgemini Australia Pty Ltd,"Engagement Management / Senior Project Management role to build strong working rapport with our clients, across their entire IT project lifecycle.",https://www.seek.com.au/job/77677243?type=standout&ref=search-standalone&origin=cardTitle#sol=d1ff5dcab43183e0127a387c8be8e03fe2bd646a,,talentacquisitionaunz@capgemini.com,,Sydney NSW,Sydney NSW,,2024-07-30,30/07/2024
Network Engineer,Mode Talent Group Australia,Network Engineer - BAU - 11 Month Contract - $750 Per Day INC Super - Hybrid - Tier One Enterprise,https://www.seek.com.au/job/77676649?type=standout&ref=search-standalone&origin=cardTitle#sol=fe80391111e2a1b4a4b8fd9fd4d0f939b5ec6077,,craig@modetalent.com.au,,Sydney NSW,Sydney NSW,,2024-07-30,30/07/2024
"Project Manager/Director - Digital Leadership | PRINCE2",Genesis IT Recruitment,An urgent need has arisen to engage the services of a Project Director with exceptional project resource and project team management skills.,https://www.seek.com.au/job/77668020?type=standard&ref=search-standalone&origin=cardTitle#sol=6a9d63f1b7d1ca4cbbbeffe2cf98d4b7a0220727,,lfisher@genesisit.com.au,,Sydney NSW,Sydney NSW,,2024-07-30,30/07/2024
Project Management Office Coordinator,Holmesglen Institute,Holmesglen is seeking a highly skilled Project Manager to establish a Project Management Office!,https://www.seek.com.au/job/77668502?type=standout&ref=search-standalone&origin=cardTitle#sol=03e4c90e70b9934c0b6ff1af889e0e808839f9eb,,Paul.Culpan@holmesglen.edu.au,,Sydney NSW,Sydney NSW,,2024-07-30,30/07/2024
Senior Project Manager - Applications,Capstone Recruitment Group Pty Ltd,"Seeking a Senior Project Manager in Geelong for permanent, hybrid role. Must excel in app delivery, stakeholder management, and vendor relations",https://www.seek.com.au/job/77686733?type=standout&ref=search-standalone&origin=cardTitle#sol=886302be8e00a1d4985524e3d250f63c7765352b,,lisa@capstonerecruitment.com.au,,Sydney NSW,Sydney NSW,,2024-07-30,
Project Manager,Kinetic IT,"Full time, ongoing position. Lead seamless infrastructure projects, optimizing resources & timelines to meet strategic objectives. Docklands location.",https://www.seek.com.au/job/77665397?type=standout&ref=search-standalone&origin=cardTitle#sol=0931f53b6828e1a2ffc83e2b5983b97a8a7afb27,,careers@kineticit.com.au,,Brisbane QLD,Melbourne VIC,$900 - $1100 p.d. + client fees disclosed,2024-07-30,
Associate Engineer - Linux/UNIX - Hybrid WFH,Cenitex,"Linux/Unix Engineer within Service Performance Operations. Requires strong Linux/Unix skills, interest in automation based on Infra as a code approach",https://www.seek.com.au/job/77665962?type=standout&ref=search-standalone&origin=cardTitle#sol=ac8c586dd7f022ff1c6f8b954099e5ab233b7d77,,Cenitex.recruitment@cenitex.vic.gov.au,,Brisbane QLD,Melbourne VIC,Competitive Salary and Benefits,2024-07-30,30/07/2024
"Power Platform, SharePoint and Teams Administrator",Clicks IT Recruitment (ACT),"Power Platform| SharePoint| Teams| Microsoft cloud platforms| Azure DevOps|M365| Deploy Power Platform| PowerApps | REST | CI/CD",https://www.seek.com.au/job/77695930?type=standard&ref=search-standalone&origin=cardTitle#sol=6f5a22837ec66c20627686d4e2dd14b7b35fba9a,,adjustments@clicks.com.au,,Brisbane QLD,Melbourne VIC,,2024-07-30,
Project Director,Exclaim IT,"The Project Director is responsible for the delivery of large scale, complex and high-risk projects within the Program.",https://www.seek.com.au/job/77674646?type=standout&ref=search-standalone&origin=cardTitle#sol=800462c781e54949017e4742ad3fc3d7ea6f97f9,,mhale@exclaim-it.com.au,,Brisbane QLD,Melbourne VIC,,2024-07-30,30/07/2024
Software Tester / Quality Assurance,NurtureCloud,Join NurtureCloud and become a part of our Sydney technology team to work towards revolutionising Global Real Estate industry,https://www.seek.com.au/job/77668873?type=standard&ref=search-standalone&origin=cardTitle#sol=ca05f7b50c786d8fd66a9e8760895e910dc87df7,,careers@nurturecloud.com,,Brisbane QLD,Melbourne VIC,,2024-07-30,30/07/2024
Quantitative Developer Capital Markets Quant Desk,Clarrow Pty Ltd,Are you an ambitious Quant Engineer who has a background in C++ / Python and Quant Strategies?,https://www.seek.com.au/job/77704000?type=standout&ref=search-standalone&origin=cardTitle#sol=4eef6e10853f3038c5034a09f337c683fbd36fcb,,steve@clarrow.com.au,,Brisbane QLD,Melbourne VIC,,2024-07-30,30/07/2024
Network Engineer,Mode Talent Group Australia,Network Engineer - BAU - 11 Month Contract - $750 Per Day INC Super - Hybrid - Tier One Enterprise,https://www.seek.com.au/job/77676649?type=promoted&ref=search-standalone&origin=cardTitle#sol=1f49ae4fdaf0151e1cd36ff1ef0c943f42a63a7e,,craig@modetalent.com.au,,Melbourne VIC,Sydney NSW,Subsidised health insurance + stock discounts,2024-07-30,30/07/2024
Project Manager,Robert Half,Leading and managing the end-to-end delivery of key technology projects.,https://www.seek.com.au/job/77665854?type=standout&ref=search-standalone&origin=cardTitle#sol=8fe324df7626f718c8a784c3e7d028f01f9099d1,,,810-0013023,Melbourne VIC,Sydney NSW,"Permanent Full Time role, Hybrid with Profit Share",2024-07-30,
Delivery Lead (Scrum Master),University of New South Wales,"Delivery Lead/Scrum Master - delivery of the Sustainment/Digital External Engagement Squad Scrum in a timely, controlled, and predictable manner.",https://www.seek.com.au/job/77704361?type=standard&ref=search-standalone&origin=cardTitle#sol=8aec5843c0f02570bca04cf9d24ce43fb89a26ba,,j.maclachlan@unsw.edu.au,,Melbourne VIC,Sydney NSW,AUD 160000 - 180000 per annum,2024-07-30,
Quantitative Developer Capital Markets Quant Desk,Clarrow Pty Ltd,Are you an ambitious Quant Engineer who has a background in C++ / Python and Quant Strategies?,https://www.seek.com.au/job/77704000?type=standout&ref=search-standalone&origin=cardTitle#sol=74c461467601425349252f7ae67fa5c512b9ce8d,,steve@clarrow.com.au,,Melbourne VIC,Sydney NSW,Competitive Salary and Benefits,2024-07-30,30/07/2024
Cyber Security Risk and Compliance Lead,VMIA,"We are seeking someone with strong leadership or extensive role in cyber, IT, or business governance, risk and compliance at VMIA.",https://www.seek.com.au/job/77705570?type=standout&ref=search-standalone&origin=cardTitle#sol=2bd8805c7953d9fec0e2fff3a035e472fae826c1,,talentacquisition@vmia.vic.gov.au,,Melbourne VIC,Sydney NSW,,2024-07-30,30/07/2024
Product Designer,The Onset,"Shape the future of home ownership with cutting-edge financial products in a dynamic, high-growth environment.",https://www.seek.com.au/job/77675296?type=standout&ref=search-standalone&origin=cardTitle#sol=100a09783caace86ac8a53bafc71869bae1693c4,,michael@theonset.com.au,,Melbourne VIC,Sydney NSW,,2024-07-30,30/07/2024
Sailpoint Engineer,The Decipher Bureau,Looking for a confident SailPoint developer to join this team in an Identity and Access engineering capacity focusing on a DevOps pipeline perspective,https://www.seek.com.au/job/77665413?type=standout&ref=search-standalone&origin=cardTitle#sol=1774bdac6908a608b268c1994c2f11a4c68822f2,,jreid@decipherbureau.com,,Melbourne VIC,Sydney NSW,,2024-07-30,30/07/2024
Data Engineer,HCL Australia Services Pty Ltd,Hiring Data Engineer in Melbourne for Full-time!,https://www.seek.com.au/job/77675337?type=standard&ref=search-standalone&origin=cardTitle#sol=139bc7769a667d136de3bd7b65278b4f2db7c34a,,priyanka_ku@hcl.com,,Melbourne VIC,Sydney NSW,,2024-07-30,30/07/2024
Network Engineer,Mode Talent Group Australia,Network Engineer - BAU - 11 Month Contract - $750 Per Day INC Super - Hybrid - Tier One Enterprise,https://www.seek.com.au/job/77676649?type=promoted&ref=search-standalone&origin=cardTitle#sol=e1256ac58b1971bf84d98ad48d9ef24462c65613,,craig@modetalent.com.au,,Melbourne VIC,Virginia,AUD 120000 - 145000 per annum,2024-07-30,30/07/2024
Product Designer,The Onset,"Shape the future of home ownership with cutting-edge financial products in a dynamic, high-growth environment.",https://www.seek.com.au/job/77675296?type=standout&ref=search-standalone&origin=cardTitle#sol=71e33e1e4837fa0ea467ebc1f28984e1b3e54fce,,michael@theonset.com.au,,Melbourne VIC,Virginia,Excellent package on offer,2024-07-30,30/07/2024
Data Engineer,HCL Australia Services Pty Ltd,Hiring Data Engineer in Melbourne for Full-time!,https://www.seek.com.au/job/77675337?type=standard&ref=search-standalone&origin=cardTitle#sol=b9b728b68cb901ccb803c8250741f71b474f4afd,,priyanka_ku@hcl.com,,Melbourne VIC,Virginia,Competitive Salary and Benefits,2024-07-30,30/07/2024
Application Developer,"Talent – Specialists in tech, transformation & beyond","Seeking an Application Developer for a 6-month contract. Experience with SharePoint, PowerApps, Power BI, Azure and Logic Apps",https://www.seek.com.au/job/77703849?type=standout&ref=search-standalone&origin=cardTitle#sol=01678bc044989ef7b591709a708b28887f09f6f0,,ahmad.jahfar@talentinternational.com,,Melbourne VIC,Virginia,"$95,000 – $105,000 per year",2024-07-30,30/07/2024
Sailpoint Engineer,The Decipher Bureau,Looking for a confident SailPoint developer to join this team in an Identity and Access engineering capacity focusing on a DevOps pipeline perspective,https://www.seek.com.au/job/77665413?type=standout&ref=search-standalone&origin=cardTitle#sol=87aa891191c0a8ce6685c6841366e3b8f625ea1f,,jreid@decipherbureau.com,,Melbourne VIC,Virginia,,2024-07-30,30/07/2024
Data Architect - Modeller (LONG TERM CONTRACT),Correlate Resources,Design and own the Data & Analytics Platform Architecture of an exciting market-leading company.,https://www.seek.com.au/job/77672710?type=standout&ref=search-standalone&origin=cardTitle#sol=b3952c98700614def266b22680b48dd72cc9a3bf,,jay@correlateresources.com,,Melbourne VIC,Virginia,,2024-07-30,30/07/2024
Senior Business Analyst,Victoria University,"We are looking for a Senior Business Analyst to lead the analysis, and reengineering of processes related to the University’s strategic initiatives.",https://www.seek.com.au/job/77672326?type=standout&ref=search-standalone&origin=cardTitle#sol=5059da1a1aa74bd0b913613adfcf64f7330be008,,Elli.Tsaloukis@vu.edu.au,,Melbourne VIC,Virginia,,2024-07-30,30/07/2024
Quantitative Developer Capital Markets Quant Desk,Clarrow Pty Ltd,Are you an ambitious Quant Engineer who has a background in C++ / Python and Quant Strategies?,https://www.seek.com.au/job/77704000?type=promoted&ref=search-standalone&origin=cardTitle#sol=3b05b210f81f1a390a2b4fb54724cf5a919a3536,,steve@clarrow.com.au,,Sydney NSW,Sydney NSW,Competitive day rates,2024-07-30,30/07/2024
Automation Test Analyst,Calleo,"Experience with automation test tools like Selenium, Postman, Swagger and Cucumber required",https://www.seek.com.au/job/77669444?type=standout&ref=search-standalone&origin=cardTitle#sol=0e79aef0aaf414d828f9df6075ebd3dbd143aecb,,newman.ponniah@calleo.com.au,,Sydney NSW,Sydney NSW,"$114,626 – $122,401 per year",2024-07-30,
Business Intelligence Developer,Randstad Digital,Exciting new opportunity for an experienced BI Developer to join a large global mining company. Reach out for more information!,https://www.seek.com.au/job/77705972?type=standard&ref=search-standalone&origin=cardTitle#sol=3d954ae3ecb35eab721663006456311eba4f76e7,,riley.osborne@randstaddigital.com.au,,Sydney NSW,Sydney NSW,,2024-07-30,30/07/2024
Integration Engineer (.NET / Azure),Davidson,Exciting long term project.,https://www.seek.com.au/job/77686537?type=standout&ref=search-standalone&origin=cardTitle#sol=52a7ac349d20ab4035b3a187f35d9fff6ba83e4b,,simar.sajjan@davidsonwp.com,072024-3774,Sydney NSW,Sydney NSW,,2024-07-30,
QA/Test Analyst,Flinders Port Holdings Pty Ltd,"Be responsible for executing various testing activities to ensure the reliability, functionality, and performance of software applications.",https://www.seek.com.au/job/77666207?type=standout&ref=search-standalone&origin=cardTitle#sol=b4637af9b4f0cd52342da7008a3bf37ba3fa0ce9,,jess.meyer@fphgroup.com.au,,Sydney NSW,Sydney NSW,,2024-07-30,30/07/2024
Business Intelligence Developer,Randstad Digital,Exciting new opportunity for an experienced BI Developer to join a large global mining company. Reach out for more information!,https://www.seek.com.au/job/77705972?type=standard&ref=search-standalone&origin=cardTitle#sol=55f2abc4c5d5b3d67992af4c7aec59edacf47fb8,,riley.osborne@randstaddigital.com.au,,Sydney NSW,Melbourne VIC,"$150,000 - $170,000 (negotiable)",2024-07-30,30/07/2024
Business Analyst - Aged Care,Quinn Allan,Exciting long term contract opportunity to work with a great organisation.,https://www.seek.com.au/job/77666422?type=standout&ref=search-standalone&origin=cardTitle#sol=2b2b9bcf0452159afafa562d8cc6bd750ceb1ffd,,sbourke@quinnallan.com.au,,Sydney NSW,Melbourne VIC,$175k - $190k + Super,2024-07-30,30/07/2024
Senior Software Engineer,The Onset,"Senior Backend-focused (.Net) engineer, building & deploying new functionalities, supporting existing features as well as opportunity to work on AI.",https://www.seek.com.au/job/77670478?type=standout&ref=search-standalone&origin=cardTitle#sol=8ce37b08aa3c38d346c0bc19717f1b91725e7831,,danielle@theonset.com.au,,Sydney NSW,Melbourne VIC,,2024-07-30,30/07/2024
Lead Application Developer,Fujitsu Australia Limited,Manage and deliver a CAD project delivery team within a customer site.,https://www.seek.com.au/job/77671120?type=standout&ref=search-standalone&origin=cardTitle#sol=f6984aa595f6ddbed277150d2eafdc61d5b045ca,,careersapac@fujitsu.com,,Sydney NSW,Melbourne VIC,,2024-07-30,
Application Developer,Fujitsu Australia Limited,Provide solution and integration configuration and development services for the CAD project delivery team within a customer site.,https://www.seek.com.au/job/77671177?type=standout&ref=search-standalone&origin=cardTitle#sol=44eb25e6190cc77a19c49e3ede034bfe8c261218,,careersapac@fujitsu.com,,Sydney NSW,Melbourne VIC,,2024-07-30,
Full Stack .Net Angular Developer,FourQuarters Recruitment,Well known automotive giant looking for a mid level full stack .Net developer with Angular experience. Onsite.,https://www.seek.com.au/job/77703738?type=standard&ref=search-standalone&origin=cardTitle#sol=dcfee33659e1749722148e33e2591ac1fe86cbb8,,mbeck@fourquarters.com.au,,Sydney NSW,Melbourne VIC,,2024-07-30,
Senior ServiceNow Product Owner,Randstad Digital,"Lead the ServiceNow Platform, driving strategy, user adoption, and team excellence. Shape ITSM processes in a dynamic, forward-thinking environment",https://www.seek.com.au/job/77674870?type=standard&ref=search-standalone&origin=cardTitle#sol=b473bd194c90e149400ab53e2f8d550b069ae911,,khalil@technologypeople.com.au,,Sydney NSW,Melbourne VIC,,2024-07-30,
Front End Developer (React),,Randstad are looking for 2 Front End Developers who will play a pivotal role in developing and maintaining User Interfaces.,https://www.seek.com.au/job/77694797?type=standard&ref=search-standalone&origin=cardTitle#sol=e8389061eb8130c82f488c284dfffb1a548c8feb,,clayton.bradfield@randstaddigital.com.au,,Sydney NSW,Melbourne VIC,,2024-07-30,30/07/2024
