title,company,description,link,listedOn,email,phone,city,region,salary,runDate,comms
Assistant Accountant,Robert Half Finance & Accounting,US owned leading manufacturing business are looking for an experienced Assistant Accountant on a 3-month contract to cover holiday leave.,https://www.seek.co.nz/job/75713526?type=standard&ref=search-standalone&origin=cardTitle#sol=81746a584cae0111c1c4b7ba35784ba93df02a9a,,,900-0012973,Auckland CBD,Auckland,$33-$37 per hour + hol pay + 2 WFH days,9/05/2024,
Administration Manager,Auckland University Of Technology,The School of Clinical Sciences is seeking an experienced Administration Manager.,https://www.seek.co.nz/job/75720322?type=standout&ref=search-standalone&origin=cardTitle#sol=f8cca192fbdeeb9516a1c8578fd1d0dbc3af6c69,,,,Auckland CBD,Auckland,I KNOW YOU WANT TO - SO GO ON...APPLY!,9/05/2024,
Production Shift Manager,Tribe (New Zealand) Limited,"Great company culture, supportive team and the opportunity to work for an industry leader striving for growth?�?Apply today!",https://www.seek.co.nz/job/75720146?type=standout&ref=search-standalone&origin=cardTitle#sol=2f772959acf855000e5605d1fd70ead30e01764d,,,027 2964379,Auckland CBD,Auckland,,9/05/2024,
Commercial Property Administrator,Assemble,Stride Property are looking for a commercial property administrator to join their internal finance team in Auckland.,https://www.seek.co.nz/job/75723550?type=standout&ref=search-standalone&origin=cardTitle#sol=17f00b7c7d50a8ae80b71a695623ed27485e20ce,,,027 274 6829,Auckland CBD,Auckland,,9/05/2024,
Finance Analyst,Hunter Campbell Limited,Finance Analyst providing timely commercial insights to help drive the business forward,https://www.seek.co.nz/job/75715026?type=standout&ref=search-standalone&origin=cardTitle#sol=4075021bb0005fbef988f3c9fbcbd786f4d727ae,,carolinel@huntercampbell.co.nz,021 240 9748,Auckland CBD,Auckland,,9/05/2024,
GROUP FINANCIAL CONTROLLER,Seqel Limited,?�? NZX/ASX listed entity ?�? Multi-site market leader ?�? Auckland based,https://www.seek.co.nz/job/75717419?type=standout&ref=search-standalone&origin=cardTitle#sol=39f4dccf6ac25be74baba86a667f64ddb566972c,,cv@seqelpartners.com,,Auckland CBD,Auckland,,9/05/2024,
Technical Support Specialist,Rewired Consulting Ltd,"Fantastic opportunity with Partners Life, one of New Zealand's leading insurance companies.",https://www.seek.co.nz/job/75720638?type=standout&ref=search-standalone&origin=cardTitle#sol=0bf48b50742b0ad58b14b6f25e5d9a719f37c6b8,,,,Auckland CBD,Auckland,,9/05/2024,
Technical Support Specialist,Rewired Consulting Ltd,"Fantastic opportunity with Partners Life, one of New Zealand's leading insurance companies.",https://www.seek.co.nz/job/75720824?type=standout&ref=search-standalone&origin=cardTitle#sol=7877cfac3ca76d87a4e874bcf2d5fdaae942d08e,,,,Auckland CBD,Auckland,,9/05/2024,
Senior Quality Assurance Co-ordinator,Heartland,We are looking for an experienced and motivated quality assurance professional.,https://www.seek.co.nz/job/75719362?type=standout&ref=search-standalone&origin=cardTitle#sol=b73346301679c3eb4ab1ec3631be2d0259fb842e,,,,Auckland CBD,Auckland,,9/05/2024,
Banking Consultant - Consumer,Cultivate ?�? SEEK Medium Agency of the Year 2023,"You'll look after our customers over the phone, helping them with motor vehicle lending.",https://www.seek.co.nz/job/75725427?type=standout&ref=search-standalone&origin=cardTitle#sol=8ecc63f0f3a6581054293f7e88677caf7657b555,,,,Auckland CBD,Auckland,,9/05/2024,
Accounts Payable,Recruitment Expert,Senior Accounts Payable + SAP + North Shore + 2 WFH days + Iconic brand + Flexibility + fast-paced stimulating role + approx 2 months +,https://www.seek.co.nz/job/75721477?type=standout&ref=search-standalone&origin=cardTitle#sol=369d3b0d8f7dfe578f91f95334f726b87881b954,,kelly@cultivate.co.nz,,Auckland CBD,Auckland,,9/05/2024,
"12x Business Advisory, Tax and Audit Positions - AUCKLAND - Up to $5k sign-on*",,This is the best time in history to consider your career options and change jobs - candidates scoring $10k-$25k pay rises - talk to us today!,https://www.seek.co.nz/job/75713303?type=standard&ref=search-standalone&origin=cardTitle#sol=5ee75d2bd41735e38745c4c12bee1a21ead371d5,,schroeder@recruitmentexpert.co.nz,,Auckland CBD,Auckland,,9/05/2024,
Senior Quality Assurance Co-ordinator,BePure Health,We are looking for an experienced and motivated quality assurance professional.,https://www.seek.co.nz/job/75719362?type=promoted&ref=search-standalone&origin=cardTitle#sol=79cc929c928d26e5071d64b8baaeca414e49524d,,,,Mount Wellington,Auckland,"$85,000 ?�? $99,999 per year",9/05/2024,
Territory Manager,KINGS RECRUITMENT LTD,Join a leading wellness brand as our Auckland/Northland Territory Manager. Sales experience & passion for the wellness space is a must have.,https://www.seek.co.nz/job/75724821?type=promoted&ref=search-standalone&origin=cardTitle#sol=9fc393417e28170ed394dbae4bc883eafe362569,,,,Mount Wellington,Auckland,Great $$ & Growth Opportunities,9/05/2024,
Payroll Officer,Rubbish Direct,Great op for a motivated Payroll Officer experienced in end-to-end payroll to look after AU & NZ payroll functions for large manufacturing Company.,https://www.seek.co.nz/job/75713673?type=standout&ref=search-standalone&origin=cardTitle#sol=cf915d302116d3433c718f6526c49bb0fae45cbc,,amanda@kingsrecruitment.co.nz,,Mount Wellington,Auckland,"$110,000 ?�? $130,000 per year",9/05/2024,
Human Resource Manager,Find Recruitment,"Rubbish Direct is Seeking an HR Manager - Shape Our Workforce, Drive Our Success!",https://www.seek.co.nz/job/75711677?type=standard&ref=search-standalone&origin=cardTitle#sol=da24ec1abb434bb75154a1acab04f62c182da493,,,,Mount Wellington,Auckland,$120K + benefits,9/05/2024,
Senior Accountant,ASB Bank Limited,"Successful NZ company, Greenlane location, requires a Senior Accountant to work in their small but dynamic team. Products sold globally.",https://www.seek.co.nz/job/75719039?type=standout&ref=search-standalone&origin=cardTitle#sol=8c50aff245b2985bbf42e42911e79fbda784fad8,,,,Mount Wellington,Auckland,$40 ?�? $45 per hour,9/05/2024,
Operations Specialist,Hilton Foods Australia,A fantastic opportunity has arisen for an Operations Specialist to join the friendly and highly motivated Operational Support Cards Team!,https://www.seek.co.nz/job/75713956?type=standout&ref=search-standalone&origin=cardTitle#sol=1e70afb8af2ba85739d120a1ee2d3d4932b6195d,,,,Mount Wellington,Auckland,"$85,000 ?�? $100,000 per year, plus company vehicle",9/05/2024,
FP&A Analyst,SMART LEARNER INTERNATIONAL PTY LTD,Be responsible for providing insights and understanding through business performance reporting and analysis.,https://www.seek.co.nz/job/75727285?type=standout&ref=search-standalone&origin=cardTitle#sol=12d20860045866edec25fa9bc563f793cb021e26,,,,Mount Wellington,Auckland,$65k-$80k NZD,9/05/2024,
Online English Teacher,Evotek Technologies Ltd,We are seeking highly motivated and experienced English Teachers to join our team!,https://www.seek.co.nz/job/75721824?type=standard&ref=search-standalone&origin=cardTitle#sol=dfee22bc2fc2a2340ca41202c41745011e14b62b,,,,Mount Wellington,Auckland,,9/05/2024,
Account Manager - Food Industry,Platinum Recruitment Limited,Looking to start your career in the food industry? Want to work with an established stable company with years of experience?,https://www.seek.co.nz/job/75719287?type=standout&ref=search-standalone&origin=cardTitle#sol=64ac95aaa33853342d7ea964a78f786449618082,,,,Mount Wellington,Auckland,,9/05/2024,
Systems Engineer - Auckland,Talent Forge Pty Ltd,We are currently looking for a Systems Engineer to join our Auckland team!,https://www.seek.co.nz/job/75714230?type=standout&ref=search-standalone&origin=cardTitle#sol=f2185504f573d020327ed9a9b6532b3991f37347,,,,Mount Wellington,Auckland,,9/05/2024,
Systems Engineer,Mix Recruitment,Join our Timaru team as a Systems Engineer. Deliver top-notch customer support and technical services in a varied role. Apply now!,https://www.seek.co.nz/job/75721926?type=standout&ref=search-standalone&origin=cardTitle#sol=bd37700b2f6132b9d1f2e5d068e9081243916bda,,Melana@platinumrecruitment.co.nz,027 232 9410,Mount Wellington,Auckland,,9/05/2024,
Transport Scheduler,Hilton Foods Australia,Are you ready to be at the forefront of revolutionizing freight management in New Zealand?,https://www.seek.co.nz/job/75715275?type=standard&ref=search-standalone&origin=cardTitle#sol=6230ec59629893bff8b65ea88363dd81d16540d4,,paul@talentforge.com.au,,Mount Wellington,Auckland,,9/05/2024,
Senior Group Accountant,Trilogy International Limited,Get great exposure in this well rounded Senior Group Accountant role.,https://www.seek.co.nz/job/75714606?type=standout&ref=search-standalone&origin=cardTitle#sol=1d68311debfea7382e165ef6c509dddd3fec1cf0,,greta@mixrecruitment.co.nz,,Mount Wellington,Auckland,,9/05/2024,
Finance Business Partner APAC ?�? Shared Services & Transformation,Glendowie College,Focus is to provide expert analytical modelling an insights for all operational costs encompassing operating costs (opex) and investment costs.,https://www.seek.co.nz/job/75727916?type=standout&ref=search-standalone&origin=cardTitle#sol=f592c9fc07a84938e89f030881e7119d15ad60ae,,,,Mount Wellington,Auckland,,9/05/2024,
Customer Care Manager,The Produce Company,We are looking for someone to manage all customer communication incoming to the ECOYA office and to provide support to the Sales team.,https://www.seek.co.nz/job/75713653?type=standout&ref=search-standalone&origin=cardTitle#sol=60976952bb9690bc43dff66c11aa647f6878dc76,,,,Mount Wellington,Auckland,,9/05/2024,
Director of Sports,ArchiPro Ltd,The successful applicant will lead an extensive co-curricular sports programme and responsible for implementing our annual Sports Strategic Plan.,https://www.seek.co.nz/job/75712703?type=standard&ref=search-standalone&origin=cardTitle#sol=0e68b462bf32a3a1490a3f232efdbf9aa1a16845,,won@gdc.school.nz,,Mount Wellington,Auckland,,9/05/2024,
ACCOUNT MANAGER,Cohesion Consulting NZ Limited,Come join a bespoke team of foodies who love what we do!,https://www.seek.co.nz/job/75717156?type=standard&ref=search-standalone&origin=cardTitle#sol=3e35cd38c83f9927993709b784f4409324b9a46d,,,,Mount Wellington,Auckland,,9/05/2024,
Personal Assistant to CEO and COO,New Zealand Automobile Association Inc.,ArchiPro is not just another online platform; the people here at ArchiPro are revolutionising an entire industry.,https://www.seek.co.nz/job/75712688?type=standout&ref=search-standalone&origin=cardTitle#sol=fe596c4b6d1fe19148319b827325543eeefc5c4e,,,,Mount Wellington,Auckland,,9/05/2024,
Senior Accountant,Westpac New Zealand Limited,50:50 blend of project work and hands on day-to day/monthly accounting.,https://www.seek.co.nz/job/75718691?type=standout&ref=search-standalone&origin=cardTitle#sol=b3fd505a0fe789936b0ae5cec3dc659dfc6a4fe3,,,,Mount Wellington,Auckland,,9/05/2024,
Change and Communications Coordinator,MOVe Group,"Join our team as the Change & Communications Coordinator, where you'll spearhead the vital task of communicating operational changes to our CX teams.",https://www.seek.co.nz/job/75712050?type=standout&ref=search-standalone&origin=cardTitle#sol=b819c345d37509c3288e0709d521d1044815b041,,,,Mount Wellington,Auckland,,9/05/2024,
Team Manager - Client Services,,"As the Team Manager, you will be responsible for leading and motivating your team to deliver a memorable customer experience to our customers.",https://www.seek.co.nz/job/75724665?type=standout&ref=search-standalone&origin=cardTitle#sol=51f89430c80064c4c328b3a5a45536c661d58e9b,,,,Mount Wellington,Auckland,,9/05/2024,
Commercial Business Analyst,,"With a commitment to innovation and excellence, we are seeking a talented Commercial Business Analyst.",https://www.seek.co.nz/job/75720589?type=standard&ref=search-standalone&origin=cardTitle#sol=128d16ac34ba34cdf9fb95e3d6de417e48036ded,,,,Mount Wellington,Auckland,,9/05/2024,
IT Service Delivery Manager,Mystro Management Limited,Join us and lead our IT Operations to new heights of efficiency and innovation.,https://www.seek.co.nz/job/75725167?type=promoted&ref=search-standalone&origin=cardTitle#sol=80dacf50388146d2a6db53bfcae9855031f561d6,,angela.miller@orbitwellington.com,,Wellington Central,Wellington,$110k - $125k p.a. + + Super + Bonus + Car Allowan,9/05/2024,
Regional Livestock Manager,Te Kuiti Meats New Zealand,An internal transfer has left an exciting opportunity for an experienced Livestock Manager to join our team and help grow our existing supply base.,https://www.seek.co.nz/job/75725425?type=promoted&ref=search-standalone&origin=cardTitle#sol=b6d86be4026fe974f2b19910d2840b756232fc20,,,,Wellington Central,Wellington,Competitive Salary + Onsite Cafe + Great Location,9/05/2024,
Board and Executive Tech Support,Westpac New Zealand Limited,We are looking for an experienced tech support person to work with Board and Executive team.,https://www.seek.co.nz/job/75716848?type=standout&ref=search-standalone&origin=cardTitle#sol=6250f5e10a4f6f4780e6611c96d10f84b9542252,,,,Wellington Central,Wellington,Competitive Salary + Laptop + Bonuses,9/05/2024,
Digital Communications Coordinator,Oxfam Aotearoa,"The Digital Communications Coordinator is responsible for OAo?�?s digital communications, including social media and website management.",https://www.seek.co.nz/job/75714317?type=standout&ref=search-standalone&origin=cardTitle#sol=a0a5dc4752f3e067a745896246e689d27d65fffa,,,,Wellington Central,Wellington,$75k-$85k,9/05/2024,
Brand Coordinator,Entain Group PTY LTD,Catapult your marketing career and gain exposure into how a successful team are building a flourishing brand.,https://www.seek.co.nz/job/75711688?type=standout&ref=search-standalone&origin=cardTitle#sol=e79e96b7017e62deba79593569b536259a3a6134,,careers@entaingroup.com.au,,Wellington Central,Wellington,Competitive Salary + Incentive Scheme,9/05/2024,
Membership Consultant - Les Mills Britomart,Les Mills New Zealand,"With on-target earnings of between $70,000 - $80,000 and our uncapped commission structure, you?�?ll have every reason to shine and smash targets.",https://www.seek.co.nz/job/75714073?type=standard&ref=search-standalone&origin=cardTitle#sol=e0a1fc85ee3f25a51d2dd2919523cc31451f2c77,,,,Wellington Central,Wellington,"$78,222 ?�? $94,689 per year",9/05/2024,
Finance Analyst,Hunter Campbell Limited,Established Kiwi Export business are seeking a Finance Analyst to join their high performing team,https://www.seek.co.nz/job/75714180?type=standout&ref=search-standalone&origin=cardTitle#sol=453af59b534d64b4126067ef0efdba9917a4c125,,katiek@huntercampbell.co.nz,,Wellington Central,Wellington,I KNOW YOU WANT TO - SO GO ON...APPLY!,9/05/2024,
Account Manager - Fire Protection,Michael Page,Join an industry leading organization in a key Account Manager Position!,https://www.seek.co.nz/job/75717686?type=standard&ref=search-standalone&origin=cardTitle#sol=c6172d7cfa2c88cf95fcafb4d6b2af3aafe5a8ff,,,,Wellington Central,Wellington,Remuneration as per experience,9/05/2024,
Marketing Communications Manager,Farmers Trading Company,This role will suit someone who is looking for a step up from a marketing coordinator level.,https://www.seek.co.nz/job/75720603?type=standout&ref=search-standalone&origin=cardTitle#sol=12b33f515c413951c48ea5b5b3c4fc6eb8f97ed2,,,,Wellington Central,Wellington,,9/05/2024,
Logistics and Warehouse Manager,Universal Business Team Recruitment,Seeking a seeking a motivated Logistics & Warehouse Manager.,https://www.seek.co.nz/job/75715128?type=standout&ref=search-standalone&origin=cardTitle#sol=c7c987aecab36178897c55fde9c3f918c6a694bf,,,,Wellington Central,Wellington,,9/05/2024,
Digital Light Motor Assessor,Ando,Collaborate in our inclusive team of 8. Use your proven expertise in digital light motor assessing and make a difference to the fast-growing team.,https://www.seek.co.nz/job/75718907?type=standout&ref=search-standalone&origin=cardTitle#sol=f6a68b9bc9315ee34b3ba9c20652f2266bf74e9f,,,,Wellington Central,Wellington,,9/05/2024,
Digital Designer,Ko Taku Reo Deaf Education New Zealand,Join our organisation as a Digital Designer and bring your creative expertise to our dynamic team,https://www.seek.co.nz/job/75721092?type=standout&ref=search-standalone&origin=cardTitle#sol=5c4dd4c8b87f9f25842de44ca46f858d660bff7b,,,,Wellington Central,Wellington,,9/05/2024,
Head of Customer Strategy,Port of Auckland Limited,Port of Auckland is embarking on a programme of work and future direction of creating a customer-centric culture across the organisation!,https://www.seek.co.nz/job/75711657?type=standout&ref=search-standalone&origin=cardTitle#sol=e3694eacfe01053f4140a568031d7ec8f853eed4,,,,Wellington Central,Wellington,,9/05/2024,
Project Administrator,salt,Opportunity to gain exposure to one of NZ's most reputable healthcare companies in regulatory affairs team. GREAT foot in the door.,https://www.seek.co.nz/job/75725680?type=standout&ref=search-standalone&origin=cardTitle#sol=6160ebde55228b849775b0475692283ee08dfc71,,,,Wellington Central,Wellington,,9/05/2024,
Business Development Manager,Alaron,"The Business Development Manager is critical in driving sales, business and product development on a day-to-day basis.",https://www.seek.co.nz/job/75713857?type=standout&ref=search-standalone&origin=cardTitle#sol=569bd12930a34f345f54378d468540161cf8a3ab,,dylan.adams@alaron.co.nz,,Wellington Central,Wellington,,9/05/2024,
Software Licensing Support,Cyclone,Be the go-to licensing support for Cyclone customers.,https://www.seek.co.nz/job/75711966?type=standout&ref=search-standalone&origin=cardTitle#sol=8cdad50708283c8dfda1722f43c4587cc2cce1f5,,,,Wellington Central,Wellington,,9/05/2024,
Brand Manager,Entain Group PTY LTD,"As a Brand Manager within our team, you will be curating an immersive brand experience that resonates with our target audience.",https://www.seek.co.nz/job/75727071?type=standout&ref=search-standalone&origin=cardTitle#sol=01c142d915475da970373c801b37ab4dba209b9a,,careers@entaingroup.com.au,,Wellington Central,Wellington,,9/05/2024,
HR Business Partner,H2R Consulting,Incredible opportunity for a strategic HR Business Partner to join a global business!,https://www.seek.co.nz/job/75711648?type=standard&ref=search-standalone&origin=cardTitle#sol=8b1c09166af9391f6c98417363a23473edc9bc24,,,,Wellington Central,Wellington,,9/05/2024,
Business Analyst ?�? Permanent - Wellington,Ministry of Social Development,"We are looking for a Business Analyst to help form up our mahi to ensure a cohesive, client-centric opti-channel experience is provided.",https://www.seek.co.nz/job/75718394?type=standout&ref=search-standalone&origin=cardTitle#sol=d78b6c91345645858703d19e561c5cda8ddaff09,,jobs@msd.govt.nz,,Wellington Central,Wellington,,9/05/2024,14/07/2024
"12x Business Advisory, Tax and Audit Positions -Christchurch- Up to $5k sign-on*",Recruitment Expert,This is the best time in history to consider your career options and change jobs - candidates scoring $10k-$25k pay rises - talk to us today!,https://www.seek.co.nz/job/75713336?type=standard&ref=search-standalone&origin=cardTitle#sol=7aa92d7f25abf4e358fbc40e393bed475281f4d7,,schroeder@recruitmentexpert.co.nz,,Wellington Central,Wellington,,9/05/2024,
Office Lead - ADM,AgRecruit Human Resources,Key administrative role within the agribusiness industry.,https://www.seek.co.nz/job/75711707?type=standout&ref=search-standalone&origin=cardTitle#sol=fe7138ec22aed0c0605d0993bc373eb4b34d48a8,,,021 224 5000,Wellington Central,Wellington,,9/05/2024,
Head of Marketing,Oyster Management Limited,Bring your passion for marketing with this exciting opportunity with Oyster Property Group!,https://www.seek.co.nz/job/75724178?type=standout&ref=search-standalone&origin=cardTitle#sol=a907fa0f16be872122abde8c78b881886d5adc6c,,people@oystergroup.co.nz,,Wellington Central,Wellington,,9/05/2024,
Project Engineer,Mitech Group Limited,The Project Engineer will be involved in the development of printing solutions for some of the most innovative manufacturing facilities in NZ,https://www.seek.co.nz/job/75720246?type=promoted&ref=search-standalone&origin=cardTitle#sol=647cefb5fde223673bdc5c4bba0217624df381cf,,,,Penrose,Auckland,"$72,364 and $100,846",9/05/2024,
Digital Communications Coordinator,Oxfam Aotearoa,"The Digital Communications Coordinator is responsible for OAo?�?s digital communications, including social media and website management.",https://www.seek.co.nz/job/75714317?type=promoted&ref=search-standalone&origin=cardTitle#sol=17d33a63477681a9b529f4a5b43b974d6f790f29,,,,Penrose,Auckland,I KNOW YOU WANT TO - SO GO ON...APPLY!,9/05/2024,
Purchasing Manager,Hunter Campbell Limited,"Hands-on leadership role where you will lead purchasing and procurement activities. Well-established, successful business with a positive culture.",https://www.seek.co.nz/job/75712777?type=standout&ref=search-standalone&origin=cardTitle#sol=c91298f274207dfc88754a9b993f8cd00ec1f846,,waynef@huntercampbell.co.nz,,Penrose,Auckland,"$80,000 - $130,000",9/05/2024,
Project Coordinator,Ministry of Justice,"Are you an experienced Project Coordinator with a passion for quality delivery and attention to detail, come and join our team!",https://www.seek.co.nz/job/75717277?type=standout&ref=search-standalone&origin=cardTitle#sol=b0c5fed4ecc96c1339393c69279d39637aa9033c,,moj_teaureka@justice.govt.nz,,Penrose,Auckland,"Up to $75,000 p.a.",9/05/2024,
Network Analyst,Woolworths NZ Ltd,"Lead replenishment readiness activities for our Supply Chain network, and work alongside a team that supports growth and career development",https://www.seek.co.nz/job/75717634?type=standout&ref=search-standalone&origin=cardTitle#sol=acd901aa25c6d7c0adb629c08d508d7e903ebfd8,,,,Penrose,Auckland,NZD 80000 - 90000 per annum,9/05/2024,
Group Finance & Accountancy Manager,Care Group Limited,Bring your wealth of financial and healthcare experience to be part of Care Group - a trusted primary & urgent care provider based in East Auckland.,https://www.seek.co.nz/job/75720895?type=standout&ref=search-standalone&origin=cardTitle#sol=ffe0b83cf9394238cc75cbc716736cb3d42dcf57,,,,Penrose,Auckland,"$80,000 ?�? $90,000 depending on skills & experience",9/05/2024,
"12x Business Advisory, Tax and Audit Positions -TAURANGA - Up to $5k sign-on*",Recruitment Expert,This is the best time in history to consider your career options and change jobs - candidates scoring $10k-$25k pay rises - talk to us today!,https://www.seek.co.nz/job/75713308?type=standard&ref=search-standalone&origin=cardTitle#sol=696f7f05b8f2d19b41d52cf4d2e468d9ee225fe6,,schroeder@recruitmentexpert.co.nz,,Penrose,Auckland,Join a business with competitive staff benefits!,9/05/2024,
Document Controller,UP Talent,Document Controller opportunity with well-known tier 2 main contractor in Auckland working on projects $50m plus - Don't miss out!,https://www.seek.co.nz/job/75717974?type=standard&ref=search-standalone&origin=cardTitle#sol=c5dd731edc6e8be94805c2e45495cb800972377f,,elizabeth@uptalent.co.nz,(022) 323 5452,Penrose,Auckland,$30 - $38 p/h,9/05/2024,
Product Developer - WIRI,Hilton Foods New Zealand,Become an integral member of the Category and Product Development team leadership.,https://www.seek.co.nz/job/75716963?type=standout&ref=search-standalone&origin=cardTitle#sol=7efaf807ac090aa6474c33436572f38b0ba0c3b6,,,,Penrose,Auckland,,9/05/2024,
Systems Engineer,Green by Nature,"Ensure stability, security, & scalability across our Systems. Elevate your career while ensuring seamless operations & driving innovation.",https://www.seek.co.nz/job/75713361?type=standout&ref=search-standalone&origin=cardTitle#sol=2abf548c212262db2947e8ac57ab581954f20784,,,,Penrose,Auckland,,9/05/2024,
Insurance Broking Role - Seeking a Customer Service Star,Ensure Recruitment NZ,"We're looking to connect with retail, call centre, sales associates and customer service professionals looking to kick off their career!!",https://www.seek.co.nz/job/75723575?type=standout&ref=search-standalone&origin=cardTitle#sol=2373bf4181f93edfa8fce87d0fb0f0dbc89c2961,,,,Penrose,Auckland,,9/05/2024,
Junior Sales and Marketing Executive,Recruit I.T. Auckland,The Junior Sales and Marketing Executive will collaboratively target existing clients while actively pursuing new business opportunities.,https://www.seek.co.nz/job/75727163?type=standout&ref=search-standalone&origin=cardTitle#sol=4f5e2583c27d0add30108f90ec9810b2edf1d5a5,,,028 990 1044,Penrose,Auckland,,9/05/2024,
Business Process Improvement Manager - SaaS,Datacom,Datacom works with organisations and communities across Australia and New Zealand to make a difference in people?�?s lives.,https://www.seek.co.nz/job/75717407?type=standout&ref=search-standalone&origin=cardTitle#sol=321ae86fd739275a55a6ef28494ad6d20a9b3a48,,,,Penrose,Auckland,,9/05/2024,
Sustainability Communications Advisor,The University of Auckland,"Identify content opportunities & effective channels to engage the University & our partners on sustainability related content, support and events.",https://www.seek.co.nz/job/75714508?type=standout&ref=search-standalone&origin=cardTitle#sol=25e67d99667d86eb63a39b6759d7b6defe946356,,lisa.matthews@auckland.ac.nz,,Penrose,Auckland,,9/05/2024,
HSEQ Coordinator,Re.Group,Work closely with our leaders to reduce the risk of injury and illness at work and work towards achieving our objective of zero harm.,https://www.seek.co.nz/job/75725843?type=standout&ref=search-standalone&origin=cardTitle#sol=69ee70f93eb05f0cb16dff34e1c87ea35ab1a4f4,,,,Penrose,Auckland,,9/05/2024,
Technology Product Owner ?�? Banker Experience & Platforms,BNZ,This is a fantastic opportunity to join us to make a real difference in the digital banking landscape!,https://www.seek.co.nz/job/75724625?type=standout&ref=search-standalone&origin=cardTitle#sol=88087bc6f5eb49d3d82aafaf505d27d93a91006b,,,,Penrose,Auckland,,9/05/2024,
Executive Assistant & Marketing Coordinator,Johnson & Johnson,Exciting opportunity: Join a global MedTech leader! Dual role as executive assistant & marketing coordinator awaits.,https://www.seek.co.nz/job/75720192?type=standout&ref=search-standalone&origin=cardTitle#sol=c59be68ce9130fc11119cc0ac5643cff9a966f81,,,,Penrose,Auckland,,9/05/2024,
Sales Capability Manager,Philip Morris International,"Due to internal promotion, we are currently on the lookout for a Sales Capability Manager to join the team in New Zealand",https://www.seek.co.nz/job/75730035?type=standout&ref=search-standalone&origin=cardTitle#sol=3aeef42a385da7eb08fd661d189514d577eb16c9,,,,Penrose,Auckland,,9/05/2024,
